study,wave,versn_s,studytit,uniqid,intrvwr_id,cntry,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_EVS5,mm_mode_fu_EVS5,mm_matrix_group_EVS5,mm_fw_start_fu_EVS5,mm_fw_end_fu_EVS5,mm_year_fu_EVS5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_EVS5,mm_v278a_fu_r_EVS5,mm_v279a_fu_r_EVS5,lnge_num,gwght,pwght,wght_eq1000,reg_iso,size_5c,respint,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A027,A029,A030,A032,A034,A035,A038,A039,A040,A041,A042,A065,A066,A067,A068,A071,A072,A074,A078,A079,A080_01,A080_02,A124_02,A124_03,A124_06,A124_08,A124_09,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E012,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E179_WVS7,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F028B_WVS7,F066_EVS5,F034,F050,F051,F053,F054,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G005,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,X003R,X003R2,G027A,X002_02A,V002,V002A,V001,V001A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,X036E_WVS7,V097EF,W005_EVS5,W006E_WVS7,X047_WVS7,X047E_EVS5
2,7,2024,0,840720001,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,43,11.16,11.59,20170511,-4,-4.0,-4.0,128,0.837964146,10.6132138674884,0.385208,840036,4,2,1,1,2,3,1,2,2,2,8,7,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,3,-4,1,-4,1,3,1,1,2,3,1,2,1,2,2,2,1,2,2,3,2,2,1,1,3,1,1,2,1,3,2,3,2,3,6,5,5,6,5,2,1,3,3,1,3,3,3,-4,2,2,3,3,2,2,5,2,2,2,2,840001,-4,5,5,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,3,2,2,3,2,3,3,-4,1,1,1,1,1,5,5,5,5,5,5,5,2,5,5,2,5,5,5,1,2,3,2,3,1,2,2,2,2,4,2,1992,25,2,1,1,840,1,840,1,840,1,1,2,4,3,2,4,2,4,2,4,2,1,1,2,-4,1,6,-4,1,5,-4
2,7,2024,0,840720002,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,35,15.07,15.43,20170504,-4,-4.0,-4.0,128,1.1390695,10.6132138674884,0.385208,840043,5,1,1,1,1,1,1,1,2,1,10,10,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,2,2,3,-4,3,-4,3,3,3,2,2,2,1,2,2,3,2,3,1,3,3,3,3,2,3,2,4,3,1,1,1,1,3,3,2,-2,7,8,10,1,10,2,1,4,3,3,3,3,3,-4,3,3,3,2,3,3,8,2,3,1,1,840002,-4,9,10,10,8,5,6,10,7,10,8,7,1,2,2,3,3,4,3,3,4,4,2,7,1,-4,1,1,1,-2,1,5,5,7,9,3,5,10,9,7,8,7,1,5,10,1,1,3,3,2,1,1,1,4,4,3,1,1944,73,6,3,1,840,1,840,1,840,5,1,2,1,3,2,-3,-3,2,1,2,1,4,-3,2,-4,-3,6,-4,-3,1,-4
2,7,2024,0,840720003,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,33,14.44,15.17,20170506,-4,-4.0,-4.0,128,0.36310347,10.6132138674884,0.385208,840009,3,2,1,1,2,3,2,4,1,1,9,9,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,-4,2,-4,2,4,3,3,3,4,1,2,2,2,2,2,1,3,3,3,3,3,2,1,4,2,1,2,2,3,1,2,1,2,3,5,4,4,3,3,3,3,3,3,3,2,3,-4,3,3,3,2,3,2,4,4,3,4,2,840002,-4,5,1,10,6,6,7,9,3,-2,8,7,2,1,1,3,2,3,2,1,3,3,0,8,8,-4,2,0,0,0,0,2,2,2,7,4,10,10,9,9,6,4,8,3,5,1,1,3,2,2,2,2,2,2,2,3,1,1974,43,3,2,1,840,1,840,1,840,1,1,2,4,6,3,6,3,6,3,3,2,1,1,2,-4,5,6,-4,4,7,-4
2,7,2024,0,840720004,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,42,11.34,12.17,20170515,-4,-4.0,-4.0,128,1.239438551,10.6132138674884,0.385208,840009,4,1,1,2,1,1,4,3,2,2,7,9,1,1,1,1,0,1,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,-4,1,-4,2,3,2,2,2,3,1,2,1,2,2,2,2,2,3,3,2,2,1,1,4,2,1,2,1,1,1,1,2,3,9,5,3,3,1,2,1,3,3,2,3,2,3,-4,1,3,2,2,2,3,7,3,2,4,1,840001,-4,6,1,10,6,1,6,10,1,3,10,9,1,1,2,1,4,2,4,3,2,2,1,7,8,-4,1,1,0,0,1,6,1,1,2,1,1,1,2,5,1,1,2,1,10,1,1,3,2,3,2,2,1,1,4,2,1,1946,71,6,3,1,840,1,840,1,840,3,1,1,2,4,2,-3,-3,3,2,2,1,4,-3,2,-4,-3,5,-4,-3,6,-4
2,7,2024,0,840720005,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,63,12.48,13.52,20170501,-4,-4.0,-4.0,128,1.63487824,10.6132138674884,0.385208,840009,4,1,1,2,2,2,3,2,2,2,7,8,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,3,3,-4,3,-4,3,2,2,3,1,3,2,2,1,3,2,2,2,2,1,3,3,2,1,4,2,3,1,3,2,1,1,1,2,3,7,7,4,6,2,2,1,4,4,2,3,3,3,-4,1,3,2,3,2,4,9,2,3,4,1,840001,-4,4,2,10,4,1,10,9,1,5,9,8,2,1,1,4,2,3,3,1,2,3,2,7,3,-4,1,1,1,1,1,9,1,1,1,1,6,6,6,7,2,3,7,7,8,1,1,3,2,3,2,2,1,3,4,3,1,1963,54,4,3,1,840,1,840,1,840,6,1,0,1,4,2,-3,-3,4,2,4,2,2,-3,1,-4,5,4,-4,-3,3,-4
2,7,2024,0,840720006,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,27,10.13,10.4,20170505,-4,-4.0,-4.0,128,3.237276659,10.6132138674884,0.385208,840032,-5,1,1,1,2,2,4,1,2,1,10,10,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,-4,1,-4,3,4,2,4,2,5,1,2,2,2,2,2,1,4,3,3,4,2,1,1,3,1,1,2,1,2,2,3,3,3,5,5,5,1,8,2,2,3,3,3,3,3,3,-4,3,3,3,3,3,3,1,3,3,4,2,840002,-4,5,5,10,10,5,5,10,5,10,1,10,1,1,2,3,2,3,3,2,2,3,1,2,2,-4,2,1,1,1,1,10,10,1,1,1,10,1,10,10,10,10,5,10,10,1,1,2,2,2,2,2,2,2,2,2,2,1943,74,6,3,1,840,1,840,1,840,3,1,0,1,3,2,-3,-3,3,2,3,2,4,-3,2,-4,-3,6,-4,-3,1,-4
2,7,2024,0,840720007,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,31,11.33,12.05,20170503,-4,-4.0,-4.0,128,1.475906152,10.6132138674884,0.385208,840038,5,2,1,1,2,2,4,1,2,1,8,10,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,-4,2,-4,3,4,3,4,3,3,2,2,2,3,2,2,2,3,3,3,3,2,1,3,2,2,1,2,1,2,1,3,2,3,6,10,8,3,6,2,2,2,3,2,3,2,3,-4,3,3,3,2,2,2,6,3,3,3,2,840002,-4,5,3,6,5,5,5,5,3,5,6,6,1,1,2,3,3,3,2,2,3,3,2,2,2,-4,1,1,1,1,1,10,1,1,1,1,6,1,1,6,1,1,2,2,6,1,1,3,2,3,2,2,2,2,3,3,2,1948,69,6,3,1,840,-2,840,-2,840,4,1,2,1,3,2,-3,-3,-2,-2,-2,-2,4,-3,2,-4,-3,8,-4,-3,6,-4
2,7,2024,0,840720008,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,41,15.56,16.37,20170501,-4,-4.0,-4.0,128,0.532800476,10.6132138674884,0.385208,840042,3,1,1,2,2,3,1,2,1,2,10,10,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,2,-4,2,-4,1,2,3,4,3,4,1,2,2,4,3,3,1,3,4,4,3,2,1,2,1,2,0,3,1,3,2,3,2,3,5,1,1,1,5,2,1,3,4,2,3,3,2,-4,2,3,3,2,3,2,8,2,1,2,2,840001,-4,6,1,10,7,4,5,10,8,7,5,3,2,3,2,3,3,3,4,3,1,4,0,8,3,-4,2,1,1,1,1,10,1,5,1,1,10,1,4,7,1,1,10,5,4,1,1,2,1,3,2,1,1,2,4,2,2,1990,27,2,1,1,840,1,840,1,840,1,1,2,4,4,2,3,2,3,2,3,2,2,1,2,-4,4,-1,-4,8,5,-4
2,7,2024,0,840720009,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,57,7.49,8.47,20170502,-4,-4.0,-4.0,128,0.186400953,10.6132138674884,0.385208,840023,3,2,1,1,2,3,1,4,3,4,4,6,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,-4,3,-4,2,4,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1,2,1,2,2,1,3,1,4,2,2,2,2,6,5,5,6,2,3,2,3,2,2,3,2,3,-4,3,4,3,3,2,3,5,4,2,4,-2,840002,-4,6,3,8,8,6,7,8,6,7,8,6,2,1,2,3,1,2,2,2,1,3,0,8,8,-4,2,0,1,1,1,1,2,4,2,2,10,1,10,9,1,2,5,1,8,1,3,3,4,4,2,3,4,2,4,4,2,1989,28,2,1,1,840,1,840,1,840,2,1,2,4,5,3,2,1,5,3,5,3,1,2,1,-4,3,6,-4,6,4,-4
2,7,2024,0,840720010,-3,840,2,2017,201704,201705,8402017,3,-4,-4,-4,-4,-4,-4,156,18.35,21.11,20170505,-4,-4.0,-4.0,128,2.168841978,10.6132138674884,0.385208,840035,3,3,1,1,2,3,1,2,1,2,10,10,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,2,-4,1,-4,3,4,5,3,3,4,1,1,1,2,1,2,2,3,3,3,4,1,2,3,2,2,1,2,2,3,1,3,3,3,-2,2,7,10,4,2,1,2,1,1,3,3,3,-4,3,3,3,2,2,3,4,-2,-2,-2,-2,-2,-4,-2,-2,-2,-2,-2,-2,-2,-2,8,-2,-2,3,3,-2,-2,2,-2,2,-2,-2,-2,2,7,2,-4,2,1,1,1,0,10,-2,10,1,1,6,1,1,5,1,1,1,1,7,1,1,1,3,2,2,2,1,2,3,4,2,1951,66,6,3,1,840,1,840,1,840,1,1,3,2,3,2,3,2,3,2,3,2,2,4,-2,-4,3,4,-4,-3,-2,-4
