lnge_num,A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
200,1,1,1,2,2,3,1,1,8,8,2,2,2,5,2,4,2,3,2,1,1,4,1,2,2,2,2,2,1,4,4,2,0,1,3,4,1,2,3,3,2,2,2,2,2,10,10,1,1,1,2,3,3,1,2,2,3,3,3,1,3,3,3,2,2,5,3,1,4,2,57804,5,1,10,9,1,10,10,2,2,9,10,1,1,1,4,4,3,3,0,0,4,0,6,7,2,1,3,3,2,1,10,2,5,10,10,10,10,1,1,1,4,2,3,1,1,1,3,4,4,1988,30,1,6,1,0,2,7,3,6,3,2,1,7,3,1,1,2,20,1,22,7
200,1,2,1,2,1,1,1,1,10,7,1,1,2,5,2,5,2,5,5,3,1,4,1,1,1,3,2,2,3,4,4,2,4,2,3,1,4,2,3,3,2,2,2,2,3,4,5,3,8,3,1,1,3,1,1,2,2,4,4,2,2,1,2,1,1,10,4,4,4,1,57801,5,2,10,10,6,10,10,10,5,10,7,1,1,1,4,2,4,2,1,4,4,2,3,1,1,7,1,1,1,1,7,1,10,10,10,1,1,1,5,1,3,1,1,1,1,1,2,2,2,1963,55,1,1,1,3,4,3,2,3,2,2,1,3,2,1,1,1,31,7,34,8
200,1,1,1,2,2,1,2,1,9,9,1,2,0,0,0,0,0,2,2,3,3,2,1,0,2,0,0,0,1,2,3,2,2,1,3,1,0,0,2,3,4,1,2,1,2,6,0,8,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,3,8,2,2,4,1,57805,3,3,5,5,4,5,10,4,3,10,7,1,1,2,3,3,4,3,1,3,4,3,2,1,1,10,1,1,1,1,1,1,5,1,1,1,1,1,2,1,3,2,2,2,2,1,1,2,3,1983,35,2,3,1,2,4,3,2,3,2,2,1,2,1,1,1,1,53,8,83,5
200,1,1,1,2,1,4,2,1,7,10,1,1,2,5,2,5,1,5,2,2,2,5,1,1,1,2,2,2,4,4,4,4,4,3,1,2,4,3,3,3,2,2,2,1,3,7,6,3,4,1,2,3,3,2,2,3,2,2,2,2,3,2,2,1,2,8,4,4,4,1,57804,10,1,10,10,1,10,10,10,6,10,8,1,1,1,4,4,4,1,1,4,4,0,8,7,2,1,1,1,1,1,10,6,10,10,7,1,10,1,1,2,4,2,3,2,2,1,2,4,4,1966,52,1,6,1,0,1,7,3,0,0,2,1,3,2,1,0,2,25,3,0,5
200,1,1,2,2,1,3,2,2,8,8,1,1,2,5,2,5,1,3,4,3,1,2,1,2,1,2,2,2,2,4,4,4,4,3,1,4,1,2,3,3,2,2,2,2,2,4,5,5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,8,4,3,4,1,57813,8,1,10,10,7,10,10,7,4,10,10,1,1,1,4,3,3,2,2,3,4,2,8,7,2,10,1,3,1,1,10,2,8,10,6,1,10,1,1,2,4,1,1,1,1,2,3,4,4,1969,49,1,6,2,2,1,6,3,0,0,2,1,2,1,1,0,2,21,7,0,4
200,1,1,1,2,1,2,1,2,10,10,1,2,2,5,2,5,1,5,5,5,1,3,1,1,1,2,1,1,1,4,4,4,4,3,1,1,3,1,3,1,3,1,3,1,3,10,10,10,1,1,2,1,3,2,2,3,3,3,3,3,3,2,2,1,3,5,4,4,4,2,57804,1,10,1,1,10,1,10,10,1,5,5,1,1,1,4,1,2,4,1,4,4,2,3,7,2,1,10,1,10,10,1,10,10,10,10,10,10,1,10,1,4,2,3,1,1,1,4,1,4,1988,30,1,1,1,1,3,3,2,2,1,3,2,3,2,1,1,1,53,2,42,6
200,1,1,2,2,1,3,2,1,8,8,1,1,2,5,2,5,1,5,5,3,2,1,1,2,2,2,2,2,3,4,4,4,4,3,1,2,1,2,3,3,2,1,2,1,3,3,3,7,7,5,2,2,2,2,2,1,2,3,3,2,2,2,2,1,2,8,4,3,4,1,57811,10,1,10,10,1,10,10,10,1,10,8,1,1,1,4,4,4,1,1,3,4,2,8,7,3,1,1,1,1,1,10,8,8,5,8,1,7,1,1,2,5,2,2,1,1,1,2,4,4,1979,39,1,1,1,2,4,7,3,6,3,3,2,2,1,3,3,0,22,7,61,8
200,1,1,1,2,2,3,1,1,9,9,1,1,2,5,2,5,1,5,5,5,4,2,1,2,1,2,2,2,3,4,4,4,4,3,1,4,1,2,3,3,2,2,3,3,3,3,1,9,5,2,1,2,3,2,2,2,2,2,2,2,3,3,2,2,2,8,4,4,4,1,57801,9,1,10,9,1,9,10,8,2,10,10,1,1,1,4,2,2,2,1,4,4,2,6,6,2,5,1,2,1,2,10,2,9,9,3,3,8,1,1,2,5,2,2,1,2,1,3,4,3,1986,32,1,1,1,2,4,6,3,7,3,3,2,3,2,1,1,1,22,6,23,4
200,1,1,1,2,2,4,1,1,9,8,1,1,2,5,1,2,4,3,2,2,1,2,1,1,1,2,2,2,3,4,4,2,4,1,3,1,4,2,1,3,2,2,2,2,3,7,4,5,1,1,2,2,3,2,2,2,2,3,3,2,3,3,2,3,3,7,3,2,4,1,57804,9,1,10,8,6,9,10,8,7,10,9,1,1,1,3,4,4,2,2,3,4,2,7,6,2,3,1,1,1,1,10,3,9,7,8,1,3,1,5,1,3,2,2,1,1,1,2,2,2,1961,57,1,1,1,2,2,5,3,3,2,2,1,3,2,1,7,2,31,6,41,6
200,1,1,1,2,2,3,2,1,8,7,1,1,2,5,2,5,2,5,2,3,2,4,1,1,1,2,1,1,4,4,4,4,4,4,3,4,1,2,2,2,2,1,1,1,3,4,5,5,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,4,2,3,1,57807,6,1,10,7,4,10,10,7,1,10,10,1,1,1,4,4,4,1,1,4,4,0,6,7,2,1,2,5,1,1,10,1,9,10,4,1,3,1,1,1,4,2,2,1,2,1,3,4,4,1973,45,1,1,1,2,4,7,3,7,3,6,3,7,3,1,1,1,23,1,22,8
