A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C002,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E179_WVS7,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F028B_WVS7,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X036E_WVS7,V097EF,W006E_WVS7,X047_WVS7
1,1,2,3,1,2,2,2,8,7,1,2,3,1,1,3,1,1,2,3,1,2,1,2,2,2,1,2,2,3,2,2,1,1,3,1,2,1,3,2,3,2,3,6,5,5,6,5,2,1,3,3,1,3,3,3,2,2,3,3,2,2,5,2,2,2,2,840001,5,5,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,3,2,2,3,2,3,3,1,5,5,5,5,5,5,5,2,5,5,2,5,5,5,2,3,2,3,1,2,2,2,2,4,1992,25,1,1,1,2,4,3,2,4,2,4,2,4,2,1,1,2,1,6,1,5
1,1,1,1,1,1,2,1,10,10,2,2,3,3,3,3,3,2,2,2,1,2,2,3,2,3,1,3,3,3,3,2,3,2,4,3,1,1,1,3,3,2,0,7,8,10,1,10,2,1,4,3,3,3,3,3,3,3,3,2,3,3,8,2,3,1,1,840002,9,10,10,8,5,6,10,7,10,8,7,1,2,2,3,3,4,3,3,4,4,2,7,1,1,5,5,7,9,3,5,10,9,7,8,7,1,5,10,1,3,3,2,1,1,1,4,4,3,1944,73,1,5,1,2,1,3,2,0,0,2,1,2,1,4,0,2,0,6,0,1
1,1,2,3,2,4,1,1,9,9,1,1,2,2,2,4,3,3,3,4,1,2,2,2,2,2,1,3,3,3,3,3,2,1,4,2,2,2,3,1,2,1,2,3,5,4,4,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,4,4,3,4,2,840002,5,1,10,6,6,7,9,3,0,8,7,2,1,1,3,2,3,2,1,3,3,0,8,8,2,2,2,2,7,4,10,10,9,9,6,4,8,3,5,1,3,2,2,2,2,2,2,2,3,1974,43,1,1,1,2,4,6,3,6,3,6,3,3,2,1,1,2,5,6,4,7
1,2,1,1,4,3,2,2,7,9,1,2,3,1,2,3,2,2,2,3,1,2,1,2,2,2,2,2,3,3,2,2,1,1,4,2,2,1,1,1,1,2,3,9,5,3,3,1,2,1,3,3,2,3,2,3,1,3,2,2,2,3,7,3,2,4,1,840001,6,1,10,6,1,6,10,1,3,10,9,1,1,2,1,4,2,4,3,2,2,1,7,8,1,6,1,1,2,1,1,1,2,5,1,1,2,1,10,1,3,2,3,2,2,1,1,4,2,1946,71,1,3,1,1,2,4,2,0,0,3,2,2,1,4,0,2,0,5,0,6
1,2,2,2,3,2,2,2,7,8,1,3,3,3,3,2,2,3,1,3,2,2,1,3,2,2,2,2,1,3,3,2,1,4,2,3,3,2,1,1,1,2,3,7,7,4,6,2,2,1,4,4,2,3,3,3,1,3,2,3,2,4,9,2,3,4,1,840001,4,2,10,4,1,10,9,1,5,9,8,2,1,1,4,2,3,3,1,2,3,2,7,3,1,9,1,1,1,1,6,6,6,7,2,3,7,7,8,1,3,2,3,2,2,1,3,4,3,1963,54,1,6,1,0,1,4,2,0,0,4,2,4,2,2,0,1,5,4,0,3
1,1,2,2,4,1,2,1,10,10,2,2,2,1,3,4,2,4,2,5,1,2,2,2,2,2,1,4,3,3,4,2,1,1,3,1,2,1,2,2,3,3,3,5,5,5,1,8,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,2,840002,5,5,10,10,5,5,10,5,10,1,10,1,1,2,3,2,3,3,2,2,3,1,2,2,2,10,10,1,1,1,10,1,10,10,10,10,5,10,10,1,2,2,2,2,2,2,2,2,2,1943,74,1,3,1,0,1,3,2,0,0,3,2,3,2,4,0,2,0,6,0,1
1,1,2,2,4,1,2,1,8,10,2,2,2,2,3,4,3,4,3,3,2,2,2,3,2,2,2,3,3,3,3,2,1,3,2,2,2,1,2,1,3,2,3,6,10,8,3,6,2,2,2,3,2,3,2,3,3,3,3,2,2,2,6,3,3,3,2,840002,5,3,6,5,5,5,5,3,5,6,6,1,1,2,3,3,3,2,2,3,3,2,2,2,1,10,1,1,1,1,6,1,1,6,1,1,2,2,6,1,3,2,3,2,2,2,2,3,3,1948,69,1,4,1,2,1,3,2,0,0,0,0,0,0,4,0,2,0,8,0,6
1,2,2,3,1,2,1,2,10,10,2,1,2,2,1,2,3,4,3,4,1,2,2,4,3,3,1,3,4,4,3,2,1,2,1,2,3,1,3,2,3,2,3,5,1,1,1,5,2,1,3,4,2,3,3,2,2,3,3,2,3,2,8,2,1,2,2,840001,6,1,10,7,4,5,10,8,7,5,3,2,3,2,3,3,3,4,3,1,4,0,8,3,2,10,1,5,1,1,10,1,4,7,1,1,10,5,4,1,2,1,3,2,1,1,2,4,2,1990,27,1,1,1,2,4,4,2,3,2,3,2,3,2,2,1,2,4,0,8,5
1,1,2,3,1,4,3,4,4,6,1,2,2,3,2,4,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1,2,1,2,2,3,1,4,2,2,2,2,6,5,5,6,2,3,2,3,2,2,3,2,3,3,4,3,3,2,3,5,4,2,4,0,840002,6,3,8,8,6,7,8,6,7,8,6,2,1,2,3,1,2,2,2,1,3,0,8,8,2,1,2,4,2,2,10,1,10,9,1,2,5,1,8,3,3,4,4,2,3,4,2,4,4,1989,28,1,2,1,2,4,5,3,2,1,5,3,5,3,1,2,1,3,6,6,4
1,1,2,3,1,2,1,2,10,10,1,2,2,1,3,4,5,3,3,4,1,1,1,2,1,2,2,3,3,3,4,1,2,3,2,2,2,2,3,1,3,3,3,0,2,7,10,4,2,1,2,1,1,3,3,3,3,3,3,2,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,2,0,2,0,0,0,2,7,2,2,10,0,10,1,1,6,1,1,5,1,1,1,1,7,1,1,3,2,2,2,1,2,3,4,1951,66,1,1,1,3,2,3,2,3,2,3,2,3,2,2,4,0,3,4,0,0
